Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ChitChat,filedata,objectread,Feature Envy,The tool detected a instance of this smell because userallobjectpass is more interested in members of the type: userstructure
ChitChat,filedata,objectread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: filename; username; nickname; email; user; inetAddress
ChitChat,ui,createaccountWindow,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: jpanel1; jpanel2; usernamelabel; nicknamelabel; passwordlabel; emaillabel; logolabel; welcomelabel1; informationlabel; usernameField; nickField; passwordField; emailfield; submitButton; aaccounts; objectCreate; loginPage; a
ChitChat,ui,createaccountWindow,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: loginwindow; createaccountWindow
ChitChat,ui,createaccountWindow.CustomeBorder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ChitChat,ui,createaccountWindow.CustomeBorder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ChitChat,ui,loginwindow.CustomeBorder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ChitChat,ui,loginwindow.CustomeBorder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ChitChat,ui,personalchatroomui,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: jpanel1; jpanel2; jpanel301; logolabel; connectedfriendslabel; clintnamelabel; gamingzonebutton; filebutton; picturebutton; sendbutton; logout_button; friendship_statusbutton; shareditemmenu_button; dictionary_Button; allmsgscrollpane; usermsgscrollpane; connectedfriendsscrollpane; allmsgtextpane; usermsgtextpane; dp; dpclint; file_of_friend; selected_picture_tosend; selected_file_tosend; Picture_Chooser; file_chooser; picture_tosend; picture_tosend_icon; nameclint; clintname; clint; previousclint; previousmsg; personwhosent_numberstring; actualmsg; clintnumber_string; personwhosent_name; friendrequestname; filename; filelenth_string; clintnumber; current_clintnumber; personwhosent_number; friendrequestnumber; fileLength; clintlist; clintchathead; msgchecker; threadclint; clint_listofclintthreadclass; Friend_list; logout; clintnamebuttton_clicked; flag; button_createfalg; isfile; history_chats; frame; logobackground; logobackgroundscaled; logo; serverdp
ChitChat,ui,personalchatroomui,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
ChitChat,ui,personalchatroomui.CustomeBorder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ChitChat,ui,personalchatroomui.CustomeBorder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ChitChat,ui,personalchatroomui.CustomeBorder1,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ChitChat,ui,personalchatroomui.CustomeBorder1,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ChitChat,User,useraccountlistener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ChitChat,dictionary,DictionaryMainFrame,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
ChitChat,clint,clintsocket,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ServerPort; ip; socket; recievingstream; sendingstream; sendMessage; readMessage; msg; name; connectedclints; myfriendlist; clintnames; username; scanner; objectfilepath; file
ChitChat,clint,clintthread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: msgelist; name; number; friend
ChitChat,clint,clintthread,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): clintsocket
ChitChat,clint,file_name_transfer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ChitChat,server,clinthandaler2,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: socketclint; socket; recievingstream; sendingstream; msg; name; actualmsg; recievingclint; clintname; filename; server; clintnumber; clintnumber_tosent; fileLength; logout; its_afile
ChitChat,server,clinthandaler2,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: clinthandaler2; serversocket
ChitChat,server,serversocket,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: allclint_object; clint_list; sserversocket; socketclint; recievingstream; sendingstream; threadforeachclint; incommingsocketthread; clintlistcreatethread; clintnumber
