Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ChitChat,filedata,accountdata,accountdata,4,1,0,11,0,filedata.accountdata,filedata.accountdata
ChitChat,filedata,accountdata,populateAccounts,23,3,1,17,0,,
ChitChat,filedata,accountdata,checkCredentials,9,3,2,41,0,,
ChitChat,filedata,accountdata,checkAvaiability,12,3,1,52,0,,
ChitChat,filedata,accountdata,addNewAccount,11,1,4,65,0,,
ChitChat,filedata,accountdata,userIsAvailable,8,3,1,80,0,,
ChitChat,filedata,accountdata,createAccount,6,1,4,99,0,filedata.accountdata,filedata.accountdata
ChitChat,filedata,chathistory,createHistoryFile,11,2,1,15,0,,
ChitChat,filedata,chathistory,getting_chatHIdtory,23,4,1,27,0,,
ChitChat,filedata,chathistory,chatfileavailability,15,2,1,51,0,,
ChitChat,filedata,chathistory,WriteHistory,14,2,2,65,0,,
ChitChat,filedata,objectread,objectread,6,1,1,16,0,filedata.objectread,filedata.objectread
ChitChat,filedata,objectread,readobjectuser,15,2,0,23,0,,
ChitChat,filedata,objectread,readobjectip,13,1,0,40,0,,
ChitChat,filedata,objectread,userallobject,6,1,3,55,0,,
ChitChat,filedata,objectread,userallobjectpass,3,1,0,64,0,filedata.objectread,filedata.objectread
ChitChat,ui,createaccountWindow,createaccountWindow,11,1,0,32,0,ui.createaccountWindow,ui.createaccountWindow
ChitChat,ui,createaccountWindow,framekeycreatewindow,172,5,0,47,0,ui.createaccountWindow,ui.createaccountWindow
ChitChat,ui,createaccountWindow,actionPerformed,31,5,1,234,0,ui.createaccountWindow,ui.createaccountWindow
ChitChat,ui,createaccountWindow,email_validation,6,2,1,275,0,,
ChitChat,ui,FileShow,FileShow,6,1,1,23,0,,
ChitChat,ui,FileShow,display,11,1,0,31,0,ui.FileShow,ui.FileShow
ChitChat,ui,FileShow,createMenuBar,32,6,0,44,0,,
ChitChat,ui,FileShow,actionPerformed,12,2,1,87,0,,
ChitChat,ui,loginwindow,loginwindow,11,1,0,35,0,ui.loginwindow,ui.loginwindow
ChitChat,ui,loginwindow,framekeyloginwindow,152,3,0,50,0,,
ChitChat,ui,loginwindow,actionPerformed,4,1,1,221,0,,
ChitChat,ui,loginwindow,actionPerformed,19,3,1,229,0,,
ChitChat,ui,ObjectFileCreate,ObjectFileCreate,12,1,3,19,0,ui.ObjectFileCreate,ui.ObjectFileCreate
ChitChat,ui,ObjectFileCreate,createfile,20,2,0,33,0,,
ChitChat,ui,personalchatroomui,personalchatroomui,23,1,2,71,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,windowClosing,3,1,1,96,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,getclintname,3,1,1,106,0,,
ChitChat,ui,personalchatroomui,getclintnumber,3,1,1,110,0,,
ChitChat,ui,personalchatroomui,recievefile,19,2,0,115,0,,
ChitChat,ui,personalchatroomui,framekeypersonalchatroom,397,37,0,138,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,run,206,35,0,351,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,actionPerformed,52,8,1,414,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,run,13,4,0,460,0,,
ChitChat,ui,personalchatroomui,actionPerformed,19,3,1,634,0,,
ChitChat,ui,personalchatroomui,actionPerformed,3,1,1,666,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,actionPerformed,3,1,1,678,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,actionPerformed,3,1,1,689,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,actionPerformed,4,1,1,699,0,,
ChitChat,ui,personalchatroomui,actionPerformed,3,1,1,712,0,,
ChitChat,ui,personalchatroomui,actionPerformed,3,1,1,724,0,,
ChitChat,ui,personalchatroomui,loggingout,10,1,0,736,0,,
ChitChat,ui,personalchatroomui,dpandnamelabel,37,2,2,748,0,ui.personalchatroomui,ui.personalchatroomui
ChitChat,ui,personalchatroomui,actionPerformed,8,1,1,793,0,,
ChitChat,ui,personalchatroomui,option,14,1,1,805,0,,
ChitChat,ui,personalchatroomui,fromFile_toFriendlist,19,3,0,828,0,,
ChitChat,ui,personalchatroomui,FileOfFriendLsit,17,2,1,850,0,,
ChitChat,ui,personalchatroomui,picture_selection,22,3,0,870,0,,
ChitChat,ui,personalchatroomui,file_selection,22,3,0,897,0,,
ChitChat,ui,personalchatroomui,hashCode,4,1,0,955,0,,
ChitChat,ui,personalchatroomui,equals,37,12,1,961,0,,
ChitChat,ui,uimain,main,5,1,1,7,0,,
ChitChat,User,useraccountlistener,loginAccepted,0,1,1,5,0,,
ChitChat,User,userstructure,userstructure,7,1,4,14,0,,
ChitChat,User,userstructure,userstructure,6,1,1,23,0,,
ChitChat,User,userstructure,userstructure,2,1,0,30,0,,
